"編號","大類","部位","名稱","五行","取得管道","裝備等級","四維模板","主屬性","特效","特效效果（紫色；橙×1.5、白金×2）","套裝"
"劍-01","武器","劍","精鋼劍","金","可製作・凡俗宗門","Lv10～100","均衡","金傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"劍-02","武器","劍","松紋劍","木","可製作・凡俗宗門","Lv10～100","剛猛","毒傷","破甲","攻擊無視目標 10% 減傷",""
"劍-03","武器","劍","寒鐵劍","水","可製作・凡俗宗門","Lv10～100","玄妙","冰傷","吸血","傷害的 3% 轉為氣血",""
"劍-04","武器","劍","赤銅劍","火","可製作・凡俗宗門","Lv10～100","剛柔","火傷","焚燼","燒傷傷害 +20%",""
"劍-05","武器","劍","黃楊劍","土","可製作・凡俗宗門","Lv10～100","均衡","雷傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"劍-06","武器","劍","庚金劍","金","可製作・修真宗門","Lv200～500","剛猛","金傷","首擊","每波第一擊傷害 +25%",""
"劍-07","武器","劍","青元劍","木","可製作・修真宗門","Lv200～500","玄妙","毒傷","蝕骨","中毒傷害 +20%",""
"劍-08","武器","劍","寒魄劍","水","可製作・修真宗門","Lv200～500","剛柔","冰傷","剋敵","五行剋制時傷害再 +8%",""
"劍-09","武器","劍","赤霄劍","火","可製作・修真宗門","Lv200～500","均衡","火傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"劍-10","武器","劍","鎮岳劍","土","可製作・修真宗門","Lv200～500","剛猛","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"劍-11","武器","劍","太白劍","金","可製作・至高宗門","Lv700～1000","玄妙","金傷","燃魂","氣血高於 80% 時傷害 +8%",""
"劍-12","武器","劍","建木劍","木","可製作・至高宗門","Lv700～1000","剛柔","毒傷","洞察","無視敵人 5% 閃避",""
"劍-13","武器","劍","玄冥劍","水","可製作・至高宗門","Lv700～1000","均衡","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"劍-14","武器","劍","南明劍","火","可製作・至高宗門","Lv700～1000","剛猛","火傷","追擊","8% 機率追加一次攻擊 ×0.6",""
